Age,Males,Females,Total,Male(%),Female(%),,
0 to 4,328759,307079,635838,-4.767465012,4.45307471,,Output:
5 to 9,315119,293664,608783,-4.569665947,4.258538459,,
10 to 14,311456,290598,602054,-4.516547327,4.214077174,,
15 to 19,312831,293313,606144,-4.536486749,4.253448469,,
20 to 24,311077,295739,606816,-4.511051298,4.288628859,,
25 to 29,284258,273379,557637,-4.122138312,3.964377607,,
30 to 34,255596,247383,502979,-3.706499251,3.587399271,,
35 to 39,248575,241938,490513,-3.604684938,3.508439161,,
40 to 44,232217,226914,459131,-3.367471074,3.290570162,,
45 to 49,202633,201142,403775,-2.938461724,2.91684014,,
50 to 54,176241,176440,352681,-2.555740835,2.558626613,,
55 to 59,153494,156283,309777,-2.225877541,2.266321939,,
60 to 64,114194,121200,235394,-1.655972611,1.757569403,,
65 to 69,83129,92071,175200,-1.205486691,1.335158189,,
70 to 74,65266,77990,143256,-0.946448223,1.130964008,,
75 to 79,43761,56895,100656,-0.634595666,0.825057023,,
80 to 84,25060,37873,62933,-0.363405027,0.549211436,,
85 to 89,10589,19573,30162,-0.1535553,0.283835858,,
90 to 94,2943,6614,9557,-0.042677613,0.095912245,,
95 to 99,570,1739,2309,-0.008265797,0.025217931,,
100+,62,230,292,-0.000899087,0.003335321,,
Total,3477830,3418057,6895887,-50.43339602,49.56660398,,
